timestamp,Ax,Ay,Az,H_baro,Latitude,Longitude,H_gps,Gx,Gy,Gz,FSM,Signal,Counter
1504.0,0.0,0.0,12.3,-117.4,19.1234,72.834503,-115.4,0.0,0.0,0.0,2,100,15
1605.0,0.0,0.0,12.3,-114.87,19.1234,72.834503,-112.87,0.0,0.0,0.0,2,100,16
1705.0,0.0,0.0,12.3,-112.37,19.1234,72.834503,-110.37,0.0,0.0,0.0,2,100,17
1806.0,0.0,0.0,12.3,-109.85,19.1234,72.834503,-107.85,0.0,0.0,0.0,2,100,18
1907.0,0.0,0.0,12.3,-107.32,19.1234,72.834503,-105.32,0.0,0.0,0.0,2,100,19
2007.0,0.0,0.0,12.3,-104.8,19.1234,72.834503,-102.8,0.0,0.0,0.0,2,100,20
2109.0,0.0,0.0,12.3,-102.27,19.1234,72.834503,-100.27,0.0,0.0,0.0,2,100,21
2209.0,0.0,0.0,12.3,-99.77,19.1234,72.834503,-97.77,0.0,0.0,0.0,2,100,22
2310.0,0.0,0.0,12.3,-97.25,19.1234,72.834503,-95.25,0.0,0.0,0.0,2,100,23
2411.0,0.0,0.0,12.3,-94.72,19.1234,72.834503,-92.72,0.0,0.0,0.0,2,100,24
2512.0,0.0,0.0,12.3,-92.2,19.1234,72.834503,-90.2,0.0,0.0,0.0,2,100,25
2612.0,0.0,0.0,12.3,-89.7,19.1234,72.834503,-87.7,0.0,0.0,0.0,2,100,26
2713.0,0.0,0.0,12.3,-87.17,19.1234,72.834503,-85.17,0.0,0.0,0.0,2,100,27
2814.0,0.0,0.0,12.3,-84.65,19.1234,72.834503,-82.65,0.0,0.0,0.0,2,100,28
2914.0,0.0,0.0,12.3,-82.15,19.1234,72.834503,-80.15,0.0,0.0,0.0,2,100,29
3015.0,0.0,0.0,12.3,-79.62,19.1234,72.834503,-77.62,0.0,0.0,0.0,2,100,30
3116.0,0.0,0.0,12.3,-77.1,19.1234,72.834503,-75.1,0.0,0.0,0.0,2,100,31
3217.0,0.0,0.0,12.3,-74.57,19.1234,72.834503,-72.57,0.0,0.0,0.0,2,100,32
3317.0,0.0,0.0,12.3,-72.08,19.1234,72.834503,-70.08,0.0,0.0,0.0,2,100,33
3418.0,0.0,0.0,12.3,-69.55,19.1234,72.834503,-67.55,0.0,0.0,0.0,2,100,34
